VARIABLE,VARIABLE_NAME,MEASURE,UNIT,FREQUENCY,MEASUREMENT_TYPE,MEASUREMENT_PERIOD,BUILDING_USE,SEASONALLY_ADJUSTED
ALL_RES_COEFF_M,"Total Residential Construction: Coefficienct of Variation, Monthly Estimate",Residential Construction,Percent,Monthly,,,,
ALL_RES_COEFF_YTD,"Total Residential Construction: Coefficient of Variation, Year-to-date estimate",Residential Construction,Percent,Monthly,,,,
ALL_RES_NSA,Total Residential Construction (Not Seasonally Adjusted),Residential Construction,USD,Monthly,,,,false
ALL_RES_SA,Total Residential Construction (Seasonally Adjusted),Residential Construction,USD,Monthly,,,,true
ALL_RES_STD_ERR_MM,"Total Residential Construction: Standard Error, Month-to-month change",Residential Construction,Percent,Monthly,,,,
ALL_RES_STD_ERR_MM_PY,"Total Residential Construction: Standard Error, Month-to-month change from previous year",Residential Construction,Percent,Monthly,,,,
ALL_RES_STD_ERR_YTD,"Total Residential Construction: Standard Error, Year-to-date change",Residential Construction,Percent,Monthly,,,,
ALL_SA,Total Construction (Seasonally Adjusted),Construction,USD,Monthly,,,,true
ALL_STD_ERR_MM,"Total Construction: Standard Error, Month-to-month change",Construction,Percent,Monthly,,,,
ALL_STD_ERR_MM_PY,"Total Construction: Standard Error, Month-to-month change from previous year",Construction,Percent,Monthly,,,,
ALL_STD_ERR_YTD,"Total Construction: Standard Error, Year-to-date change",Construction,Percent,Monthly,,,,
BLDGS_1_UNIT_A,Single Family Houses buildings: Estimates With Imputation (Annual),Building Permits in Permit-Issuing Places,Count,Annual,Estimates With Imputation,,Single Family Houses,
BLDGS_1_UNIT_M,"Single Family Houses buildings: Estimates With Imputation (Monthly, Current Month)",Building Permits in Permit-Issuing Places,Count,Monthly,Estimates With Imputation,Current Month,Single Family Houses,
BLDGS_1_UNIT_M_YTD,"Single Family Houses buildings: Estimates With Imputation (Monthly, Year-to-Date)",Building Permits in Permit-Issuing Places,Count,Monthly,Estimates With Imputation,Year-to-Date,Single Family Houses,
BLDGS_1_UNIT_REP_A,Single Family Houses buildings reported: Reported Only Data (Annual),Building Permits in Permit-Issuing Places,Count,Annual,Reported Only Data,,Single Family Houses,
BLDGS_1_UNIT_REP_M,"Single Family Houses buildings reported: Reported Only Data (Monthly, Current Month)",Building Permits in Permit-Issuing Places,Count,Monthly,Reported Only Data,Current Month,Single Family Houses,
BLDGS_1_UNIT_REP_M_YTD,"Single Family Houses buildings reported: Reported Only Data (Monthly, Year-to-Date)",Building Permits in Permit-Issuing Places,Count,Monthly,Reported Only Data,Year-to-Date,Single Family Houses,
BLDGS_2_UNITS_A,Two-Family Buildings: Estimates With Imputation (Annual),Building Permits in Permit-Issuing Places,Count,Annual,Estimates With Imputation,,Two-Family Buildings,
BLDGS_2_UNITS_M,"Two-Family Buildings: Estimates With Imputation (Monthly, Current Month)",Building Permits in Permit-Issuing Places,Count,Monthly,Estimates With Imputation,Current Month,Two-Family Buildings,
BLDGS_2_UNITS_M_YTD,"Two-Family Buildings: Estimates With Imputation (Monthly, Year-to-Date)",Building Permits in Permit-Issuing Places,Count,Monthly,Estimates With Imputation,Year-to-Date,Two-Family Buildings,
BLDGS_2_UNITS_REP_A,Two-Family Buildings reported: Reported Only Data (Annual),Building Permits in Permit-Issuing Places,Count,Annual,Reported Only Data,,Two-Family Buildings,
BLDGS_2_UNITS_REP_M,"Two-Family Buildings reported: Reported Only Data (Monthly, Current Month)",Building Permits in Permit-Issuing Places,Count,Monthly,Reported Only Data,Current Month,Two-Family Buildings,
BLDGS_2_UNITS_REP_M_YTD,"Two-Family Buildings reported: Reported Only Data (Monthly, Year-to-Date)",Building Permits in Permit-Issuing Places,Count,Monthly,Reported Only Data,Year-to-Date,Two-Family Buildings,
BLDGS_3_4_UNITS_A,Three- and Four-Family Buildings: Estimates With Imputation (Annual),Building Permits in Permit-Issuing Places,Count,Annual,Estimates With Imputation,,Three- and Four-Family Buildings,
BLDGS_3_4_UNITS_M,"Three- and Four-Family Buildings: Estimates With Imputation (Monthly, Current Month)",Building Permits in Permit-Issuing Places,Count,Monthly,Estimates With Imputation,Current Month,Three- and Four-Family Buildings,
BLDGS_3_4_UNITS_M_YTD,"Three- and Four-Family Buildings: Estimates With Imputation (Monthly, Year-to-Date)",Building Permits in Permit-Issuing Places,Count,Monthly,Estimates With Imputation,Year-to-Date,Three- and Four-Family Buildings,
BLDGS_3_4_UNITS_REP_A,Three- and Four-Family Buildings reported: Reported Only Data (Annual),Building Permits in Permit-Issuing Places,Count,Annual,Reported Only Data,,Three- and Four-Family Buildings,
BLDGS_3_4_UNITS_REP_M,"Three- and Four-Family Buildings reported: Reported Only Data (Monthly, Current Month)",Building Permits in Permit-Issuing Places,Count,Monthly,Reported Only Data,Current Month,Three- and Four-Family Buildings,
BLDGS_3_4_UNITS_REP_M_YTD,"Three- and Four-Family Buildings reported: Reported Only Data (Monthly, Year-to-Date)",Building Permits in Permit-Issuing Places,Count,Monthly,Reported Only Data,Year-to-Date,Three- and Four-Family Buildings,
BLDGS_5_UNITS_A,Five-or-More Family Buildings: Estimates With Imputation (Annual),Building Permits in Permit-Issuing Places,Count,Annual,Estimates With Imputation,,Five-or-More Family Buildings,
BLDGS_5_UNITS_M,"Five-or-More Family Buildings: Estimates With Imputation (Monthly, Current Month)",Building Permits in Permit-Issuing Places,Count,Monthly,Estimates With Imputation,Current Month,Five-or-More Family Buildings,
BLDGS_5_UNITS_M_YTD,"Five-or-More Family Buildings: Estimates With Imputation (Monthly, Year-to-Date)",Building Permits in Permit-Issuing Places,Count,Monthly,Estimates With Imputation,Year-to-Date,Five-or-More Family Buildings,
BLDGS_5_UNITS_REP_A,Five-or-More Family Buildings reported: Reported Only Data (Annual),Building Permits in Permit-Issuing Places,Count,Annual,Reported Only Data,,Five-or-More Family Buildings,
BLDGS_5_UNITS_REP_M,"Five-or-More Family Buildings reported: Reported Only Data (Monthly, Current Month)",Building Permits in Permit-Issuing Places,Count,Monthly,Reported Only Data,Current Month,Five-or-More Family Buildings,
BLDGS_5_UNITS_REP_M_YTD,"Five-or-More Family Buildings reported: Reported Only Data (Monthly, Year-to-Date)",Building Permits in Permit-Issuing Places,Count,Monthly,Reported Only Data,Year-to-Date,Five-or-More Family Buildings,
PRIVATE_NONRES_A,Private Nonresidential Construction (Annual),Private Nonresidential Construction,USD,Annual,,,,
PRIVATE_NONRES_AMUSEMENT_A,Private Nonresidential Construction: Amusement and recreation (Annual),Private Nonresidential Construction,USD,Annual,,,Amusement and recreation,
PRIVATE_NONRES_AMUSEMENT_COEFF_M,"Private Nonresidential Construction: Amusement and recreation: Coefficienct of Variation, Monthly Estimate",Private Nonresidential Construction,Percent,Monthly,,,Amusement and recreation,
PRIVATE_NONRES_AMUSEMENT_COEFF_YTD,"Private Nonresidential Construction: Amusement and recreation: Coefficient of Variation, Year-to-date estimate",Private Nonresidential Construction,Percent,Monthly,,,Amusement and recreation,
PRIVATE_NONRES_AMUSEMENT_NSA,Private Nonresidential Construction: Amusement and recreation (Not Seasonally Adjusted),Private Nonresidential Construction,USD,Monthly,,,Amusement and recreation,false
PRIVATE_NONRES_AMUSEMENT_SA,Private Nonresidential Construction: Amusement and recreation (Seasonally Adjusted),Private Nonresidential Construction,USD,Monthly,,,Amusement and recreation,true
PRIVATE_NONRES_AMUSEMENT_STD_ERR_MM,"Private Nonresidential Construction: Amusement and recreation: Standard Error, Month-to-month change",Private Nonresidential Construction,Percent,Monthly,,,Amusement and recreation,
PRIVATE_NONRES_AMUSEMENT_STD_ERR_MM_PY,"Private Nonresidential Construction: Amusement and recreation: Standard Error, Month-to-month change from previous year",Private Nonresidential Construction,Percent,Monthly,,,Amusement and recreation,
PRIVATE_NONRES_AMUSEMENT_STD_ERR_YTD,"Private Nonresidential Construction: Amusement and recreation: Standard Error, Year-to-date change",Private Nonresidential Construction,Percent,Monthly,,,Amusement and recreation,
PRIVATE_NONRES_COEFF_M,"Private Nonresidential Construction: Coefficienct of Variation, Monthly Estimate",Private Nonresidential Construction,Percent,Monthly,,,,
PRIVATE_NONRES_COEFF_YTD,"Private Nonresidential Construction: Coefficient of Variation, Year-to-date estimate",Private Nonresidential Construction,Percent,Monthly,,,,
PRIVATE_NONRES_COMMERCIAL_A,Private Nonresidential Construction: Commercial (Annual),Private Nonresidential Construction,USD,Annual,,,Commercial,
PRIVATE_NONRES_COMMERCIAL_COEFF_M,"Private Nonresidential Construction: Commercial: Coefficienct of Variation, Monthly Estimate",Private Nonresidential Construction,Percent,Monthly,,,Commercial,
PRIVATE_NONRES_COMMERCIAL_COEFF_YTD,"Private Nonresidential Construction: Commercial: Coefficient of Variation, Year-to-date estimate",Private Nonresidential Construction,Percent,Monthly,,,Commercial,
PRIVATE_NONRES_COMMERCIAL_NSA,Private Nonresidential Construction: Commercial (Not Seasonally Adjusted),Private Nonresidential Construction,USD,Monthly,,,Commercial,false
PRIVATE_NONRES_COMMERCIAL_SA,Private Nonresidential Construction: Commercial (Seasonally Adjusted),Private Nonresidential Construction,USD,Monthly,,,Commercial,true
PRIVATE_NONRES_COMMERCIAL_STD_ERR_MM,"Private Nonresidential Construction: Commercial: Standard Error, Month-to-month change",Private Nonresidential Construction,Percent,Monthly,,,Commercial,
PRIVATE_NONRES_COMMERCIAL_STD_ERR_MM_PY,"Private Nonresidential Construction: Commercial: Standard Error, Month-to-month change from previous year",Private Nonresidential Construction,Percent,Monthly,,,Commercial,
PRIVATE_NONRES_COMMERCIAL_STD_ERR_YTD,"Private Nonresidential Construction: Commercial: Standard Error, Year-to-date change",Private Nonresidential Construction,Percent,Monthly,,,Commercial,
PRIVATE_NONRES_COMMUNICATION_NSA,Private Nonresidential Construction: Communication (Not Seasonally Adjusted),Private Nonresidential Construction,USD,Monthly,,,Communication,false
PRIVATE_NONRES_COMMUNICATION_SA,Private Nonresidential Construction: Communication (Seasonally Adjusted),Private Nonresidential Construction,USD,Monthly,,,Communication,true
PRIVATE_NONRES_EDUCATIONAL_A,Private Nonresidential Construction: Educational (Annual),Private Nonresidential Construction,USD,Annual,,,Educational,
PRIVATE_NONRES_EDUCATIONAL_COEFF_M,"Private Nonresidential Construction: Educational: Coefficienct of Variation, Monthly Estimate",Private Nonresidential Construction,Percent,Monthly,,,Educational,
PRIVATE_NONRES_EDUCATIONAL_COEFF_YTD,"Private Nonresidential Construction: Educational: Coefficient of Variation, Year-to-date estimate",Private Nonresidential Construction,Percent,Monthly,,,Educational,
PRIVATE_NONRES_EDUCATIONAL_NSA,Private Nonresidential Construction: Educational (Not Seasonally Adjusted),Private Nonresidential Construction,USD,Monthly,,,Educational,false
PRIVATE_NONRES_EDUCATIONAL_SA,Private Nonresidential Construction: Educational (Seasonally Adjusted),Private Nonresidential Construction,USD,Monthly,,,Educational,true
PRIVATE_NONRES_EDUCATIONAL_STD_ERR_MM,"Private Nonresidential Construction: Educational: Standard Error, Month-to-month change",Private Nonresidential Construction,Percent,Monthly,,,Educational,
PRIVATE_NONRES_EDUCATIONAL_STD_ERR_MM_PY,"Private Nonresidential Construction: Educational: Standard Error, Month-to-month change from previous year",Private Nonresidential Construction,Percent,Monthly,,,Educational,
PRIVATE_NONRES_EDUCATIONAL_STD_ERR_YTD,"Private Nonresidential Construction: Educational: Standard Error, Year-to-date change",Private Nonresidential Construction,Percent,Monthly,,,Educational,
PRIVATE_NONRES_HEALTH_A,Private Nonresidential Construction: Health care (Annual),Private Nonresidential Construction,USD,Annual,,,Health care,
PRIVATE_NONRES_HEALTH_COEFF_M,"Private Nonresidential Construction: Health care: Coefficienct of Variation, Monthly Estimate",Private Nonresidential Construction,Percent,Monthly,,,Health care,
PRIVATE_NONRES_HEALTH_COEFF_YTD,"Private Nonresidential Construction: Health care: Coefficient of Variation, Year-to-date estimate",Private Nonresidential Construction,Percent,Monthly,,,Health care,
PRIVATE_NONRES_HEALTH_NSA,Private Nonresidential Construction: Health care (Not Seasonally Adjusted),Private Nonresidential Construction,USD,Monthly,,,Health care,false
PRIVATE_NONRES_HEALTH_SA,Private Nonresidential Construction: Health care (Seasonally Adjusted),Private Nonresidential Construction,USD,Monthly,,,Health care,true
PRIVATE_NONRES_HEALTH_STD_ERR_MM,"Private Nonresidential Construction: Health care: Standard Error, Month-to-month change",Private Nonresidential Construction,Percent,Monthly,,,Health care,
PRIVATE_NONRES_HEALTH_STD_ERR_MM_PY,"Private Nonresidential Construction: Health care: Standard Error, Month-to-month change from previous year",Private Nonresidential Construction,Percent,Monthly,,,Health care,
PRIVATE_NONRES_HEALTH_STD_ERR_YTD,"Private Nonresidential Construction: Health care: Standard Error, Year-to-date change",Private Nonresidential Construction,Percent,Monthly,,,Health care,
PRIVATE_NONRES_LODGING_A,Private Nonresidential Construction: Lodging (Annual),Private Nonresidential Construction,USD,Annual,,,Lodging,
PRIVATE_NONRES_LODGING_COEFF_M,"Private Nonresidential Construction: Lodging: Coefficienct of Variation, Monthly Estimate",Private Nonresidential Construction,Percent,Monthly,,,Lodging,
PRIVATE_NONRES_LODGING_COEFF_YTD,"Private Nonresidential Construction: Lodging: Coefficient of Variation, Year-to-date estimate",Private Nonresidential Construction,Percent,Monthly,,,Lodging,
PRIVATE_NONRES_LODGING_NSA,Private Nonresidential Construction: Lodging (Not Seasonally Adjusted),Private Nonresidential Construction,USD,Monthly,,,Lodging,false
PRIVATE_NONRES_LODGING_SA,Private Nonresidential Construction: Lodging (Seasonally Adjusted),Private Nonresidential Construction,USD,Monthly,,,Lodging,true
PRIVATE_NONRES_LODGING_STD_ERR_MM,"Private Nonresidential Construction: Lodging: Standard Error, Month-to-month change",Private Nonresidential Construction,Percent,Monthly,,,Lodging,
PRIVATE_NONRES_LODGING_STD_ERR_MM_PY,"Private Nonresidential Construction: Lodging: Standard Error, Month-to-month change from previous year",Private Nonresidential Construction,Percent,Monthly,,,Lodging,
PRIVATE_NONRES_LODGING_STD_ERR_YTD,"Private Nonresidential Construction: Lodging: Standard Error, Year-to-date change",Private Nonresidential Construction,Percent,Monthly,,,Lodging,
PRIVATE_NONRES_MANUFACTURING_A,Private Nonresidential Construction: Manufacturing (Annual),Private Nonresidential Construction,USD,Annual,,,Manufacturing,
PRIVATE_NONRES_MANUFACTURING_COEFF_M,"Private Nonresidential Construction: Manufacturing: Coefficienct of Variation, Monthly Estimate",Private Nonresidential Construction,Percent,Monthly,,,Manufacturing,
PRIVATE_NONRES_MANUFACTURING_COEFF_YTD,"Private Nonresidential Construction: Manufacturing: Coefficient of Variation, Year-to-date estimate",Private Nonresidential Construction,Percent,Monthly,,,Manufacturing,
PRIVATE_NONRES_MANUFACTURING_NSA,Private Nonresidential Construction: Manufacturing (Not Seasonally Adjusted),Private Nonresidential Construction,USD,Monthly,,,Manufacturing,false
PRIVATE_NONRES_MANUFACTURING_SA,Private Nonresidential Construction: Manufacturing (Seasonally Adjusted),Private Nonresidential Construction,USD,Monthly,,,Manufacturing,true
PRIVATE_NONRES_MANUFACTURING_STD_ERR_MM,"Private Nonresidential Construction: Manufacturing: Standard Error, Month-to-month change",Private Nonresidential Construction,Percent,Monthly,,,Manufacturing,
PRIVATE_NONRES_MANUFACTURING_STD_ERR_MM_PY,"Private Nonresidential Construction: Manufacturing: Standard Error, Month-to-month change from previous year",Private Nonresidential Construction,Percent,Monthly,,,Manufacturing,
PRIVATE_NONRES_MANUFACTURING_STD_ERR_YTD,"Private Nonresidential Construction: Manufacturing: Standard Error, Year-to-date change",Private Nonresidential Construction,Percent,Monthly,,,Manufacturing,
PRIVATE_NONRES_NSA,Private Nonresidential Construction (Not Seasonally Adjusted),Private Nonresidential Construction,USD,Monthly,,,,false
PRIVATE_NONRES_OFFICE_A,Private Nonresidential Construction: Office (Annual),Private Nonresidential Construction,USD,Annual,,,Office,
PRIVATE_NONRES_OFFICE_COEFF_M,"Private Nonresidential Construction: Office: Coefficienct of Variation, Monthly Estimate",Private Nonresidential Construction,Percent,Monthly,,,Office,
PRIVATE_NONRES_OFFICE_COEFF_YTD,"Private Nonresidential Construction: Office: Coefficient of Variation, Year-to-date estimate",Private Nonresidential Construction,Percent,Monthly,,,Office,
PRIVATE_NONRES_OFFICE_NSA,Private Nonresidential Construction: Office (Not Seasonally Adjusted),Private Nonresidential Construction,USD,Monthly,,,Office,false
PRIVATE_NONRES_OFFICE_SA,Private Nonresidential Construction: Office (Seasonally Adjusted),Private Nonresidential Construction,USD,Monthly,,,Office,true
PRIVATE_NONRES_OFFICE_STD_ERR_MM,"Private Nonresidential Construction: Office: Standard Error, Month-to-month change",Private Nonresidential Construction,Percent,Monthly,,,Office,
PRIVATE_NONRES_OFFICE_STD_ERR_MM_PY,"Private Nonresidential Construction: Office: Standard Error, Month-to-month change from previous year",Private Nonresidential Construction,Percent,Monthly,,,Office,
PRIVATE_NONRES_OFFICE_STD_ERR_YTD,"Private Nonresidential Construction: Office: Standard Error, Year-to-date change",Private Nonresidential Construction,Percent,Monthly,,,Office,
PRIVATE_NONRES_POWER_A,Private Nonresidential Construction: Power (Annual),Private Nonresidential Construction,USD,Annual,,,Power,
PRIVATE_NONRES_POWER_COEFF_M,"Private Nonresidential Construction: Power: Coefficienct of Variation, Monthly Estimate",Private Nonresidential Construction,Percent,Monthly,,,Power,
PRIVATE_NONRES_POWER_COEFF_YTD,"Private Nonresidential Construction: Power: Coefficient of Variation, Year-to-date estimate",Private Nonresidential Construction,Percent,Monthly,,,Power,
PRIVATE_NONRES_POWER_NSA,Private Nonresidential Construction: Power (Not Seasonally Adjusted),Private Nonresidential Construction,USD,Monthly,,,Power,false
PRIVATE_NONRES_POWER_SA,Private Nonresidential Construction: Power (Seasonally Adjusted),Private Nonresidential Construction,USD,Monthly,,,Power,true
PRIVATE_NONRES_POWER_STD_ERR_MM,"Private Nonresidential Construction: Power: Standard Error, Month-to-month change",Private Nonresidential Construction,Percent,Monthly,,,Power,
PRIVATE_NONRES_POWER_STD_ERR_MM_PY,"Private Nonresidential Construction: Power: Standard Error, Month-to-month change from previous year",Private Nonresidential Construction,Percent,Monthly,,,Power,
PRIVATE_NONRES_POWER_STD_ERR_YTD,"Private Nonresidential Construction: Power: Standard Error, Year-to-date change",Private Nonresidential Construction,Percent,Monthly,,,Power,
PRIVATE_NONRES_PUBLIC_A,Private Nonresidential Construction: Public safety (Annual),Private Nonresidential Construction,USD,Annual,,,Public safety,
PRIVATE_NONRES_RELIGIOUS_A,Private Nonresidential Construction: Religious (Annual),Private Nonresidential Construction,USD,Annual,,,Religious,
PRIVATE_NONRES_RELIGIOUS_COEFF_M,"Private Nonresidential Construction: Religious: Coefficienct of Variation, Monthly Estimate",Private Nonresidential Construction,Percent,Monthly,,,Religious,
PRIVATE_NONRES_RELIGIOUS_COEFF_YTD,"Private Nonresidential Construction: Religious: Coefficient of Variation, Year-to-date estimate",Private Nonresidential Construction,Percent,Monthly,,,Religious,
PRIVATE_NONRES_RELIGIOUS_NSA,Private Nonresidential Construction: Religious (Not Seasonally Adjusted),Private Nonresidential Construction,USD,Monthly,,,Religious,false
PRIVATE_NONRES_RELIGIOUS_SA,Private Nonresidential Construction: Religious (Seasonally Adjusted),Private Nonresidential Construction,USD,Monthly,,,Religious,true
PRIVATE_NONRES_RELIGIOUS_STD_ERR_MM,"Private Nonresidential Construction: Religious: Standard Error, Month-to-month change",Private Nonresidential Construction,Percent,Monthly,,,Religious,
PRIVATE_NONRES_RELIGIOUS_STD_ERR_MM_PY,"Private Nonresidential Construction: Religious: Standard Error, Month-to-month change from previous year",Private Nonresidential Construction,Percent,Monthly,,,Religious,
PRIVATE_NONRES_RELIGIOUS_STD_ERR_YTD,"Private Nonresidential Construction: Religious: Standard Error, Year-to-date change",Private Nonresidential Construction,Percent,Monthly,,,Religious,
PRIVATE_NONRES_SA,Private Nonresidential Construction (Seasonally Adjusted),Private Nonresidential Construction,USD,Monthly,,,,true
PRIVATE_NONRES_SEWAGE_A,Private Nonresidential Construction: Sewage and waste disposal (Annual),Private Nonresidential Construction,USD,Annual,,,Sewage and waste disposal,
PRIVATE_NONRES_STD_ERR_MM,"Private Nonresidential Construction: Standard Error, Month-to-month change",Private Nonresidential Construction,Percent,Monthly,,,,
PRIVATE_NONRES_STD_ERR_MM_PY,"Private Nonresidential Construction: Standard Error, Month-to-month change from previous year",Private Nonresidential Construction,Percent,Monthly,,,,
PRIVATE_NONRES_STD_ERR_YTD,"Private Nonresidential Construction: Standard Error, Year-to-date change",Private Nonresidential Construction,Percent,Monthly,,,,
PRIVATE_NONRES_TRANSPORTATION_A,Private Nonresidential Construction: Transportation (Annual),Private Nonresidential Construction,USD,Annual,,,Transportation,
PRIVATE_NONRES_TRANSPORTATION_COEFF_M,"Private Nonresidential Construction: Transportation: Coefficienct of Variation, Monthly Estimate",Private Nonresidential Construction,Percent,Monthly,,,Transportation,
PRIVATE_NONRES_TRANSPORTATION_COEFF_YTD,"Private Nonresidential Construction: Transportation: Coefficient of Variation, Year-to-date estimate",Private Nonresidential Construction,Percent,Monthly,,,Transportation,
PRIVATE_NONRES_TRANSPORTATION_NSA,Private Nonresidential Construction: Transportation (Not Seasonally Adjusted),Private Nonresidential Construction,USD,Monthly,,,Transportation,false
PRIVATE_NONRES_TRANSPORTATION_SA,Private Nonresidential Construction: Transportation (Seasonally Adjusted),Private Nonresidential Construction,USD,Monthly,,,Transportation,true
